class,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
class_0,0.365719008,0.248010921,0.873786595,0.759527305,1,0.999997985,9.77E-16
class_0,0.363115274,0.2447401,0.907930366,0.763999697,1,0.999997796,1
class_0,0.331524525,0.222685059,0.772761802,0.750826415,1,0.999998635,2.25E-14
class_0,0.345349182,0.22983283,0.938964142,0.776637518,1,0.999997701,1
class_0,0.38464523,0.262842875,0.789193476,0.596428232,1,0.999995735,5.51E-15
class_0,0.364513877,0.245903966,0.801539271,0.544690798,1,0.999994574,1
class_0,0.343429326,0.223477548,0.877383295,0.622811017,1,0.999995688,1
class_0,0.254469075,0.171021205,0.710775598,0.761502571,1,0.999999258,2.58E-14
class_0,0.259153616,0.173240385,0.763422128,0.767563849,1,0.999998842,8.97E-15
class_0,0.238736679,0.158540941,0.758827668,0.811708198,1,0.999999425,1.21E-14
class_0,0.610737825,0.603461812,0.077076331,0.650585027,1,0.999998452,2.03E-13
class_0,0.610660854,0.60827385,0.062760716,0.622222064,1,0.999998464,2.49E-13
class_0,0.576247104,0.557273417,0.030760775,0.560451939,1,0.999997547,2.58E-13
class_0,0.624144113,0.621724208,0.078757556,0.648457367,1,0.999997783,9.45E-14
class_0,0.842596987,0.921250443,0.64092036,0.996617912,1.78E-16,0.999999992,0
class_0,0.656308194,0.624988136,0.275286237,0.728335765,1,0.999998743,1.06E-13
class_0,0.62419098,0.564109603,0.306214242,0.780126116,1,0.999998766,6.24E-14
class_0,0.262883621,0.176504391,0.745917504,0.756287859,1,0.999998858,1.39E-14
class_0,0.582332809,0.565655135,0.018593615,0.530533221,1,0.999996607,1.14E-13
class_0,0.609931581,0.606151069,0.04181365,0.561175411,1,0.999997185,1.75E-13
class_0,0.842596987,0.921250443,0.64092036,0.996617912,1.78E-16,0.999999992,0
class_0,0.355570751,0.241051239,0.828616059,0.7567719,1,0.999998275,9.41E-15
class_0,0.380505282,0.259017285,0.80588305,0.574263226,1,0.999995175,8.88E-16
class_0,0.357109532,0.286242809,0.47093758,0.688120112,1,0.999996641,1
class_0,0.231832839,0.155336625,0.65120522,0.780321647,1,1.02E-07,4.53E-14
class_1,0.657421666,0.513861004,0.825900568,0.848089808,1,0.999999968,1
class_1,0.664457553,0.497705276,0.934000098,0.86203111,1,0.999999156,3.38E-15
class_1,0.671316035,0.508176698,0.858900491,0.842731685,1,0.999999348,1
class_1,0.632845013,0.466295904,0.971763769,0.91603024,1,0.999999436,2.04E-15
class_1,0.727519405,0.572588661,0.733231205,0.624151556,1,0.999997982,1
class_1,0.729051287,0.575846149,0.694249118,0.616604787,1,0.9999981,1
class_1,0.551314316,0.43450539,0.689161007,0.772715299,5.20E-14,1.88E-06,3.76E-14
class_1,0.53759657,0.421926957,0.564967554,0.730423467,2.82E-14,2.07E-06,1.00E-13
class_1,0.517361932,0.391287971,0.474134691,0.782160667,3.46E-14,1.87E-06,7.69E-14
class_1,0.522842003,0.42353555,0.829087004,0.758603855,2.90E-14,1.91E-06,1
class_1,0.623629435,0.455673026,0.594555064,0.880154617,1.16E-14,4.43E-07,1
class_1,0.59991258,0.435743862,0.536424977,0.840917904,1.11E-14,4.47E-07,1
class_1,0.634115584,0.463243993,0.639526788,0.903874399,8.62E-15,3.65E-07,1
class_1,0.559496746,0.400463889,0.46809766,0.782073364,1,2.71E-07,1
class_1,0.627602524,0.455624377,0.671865436,0.914183953,3.91E-15,2.08E-07,1
class_1,0.213787779,0.146013638,0.644763606,0.71267369,1,0.999998825,4.93E-14
class_1,0.214558099,0.145179483,0.859434285,0.741847472,1,0.99999721,1
class_1,0.201787506,0.145198806,0.594596754,0.557727239,1,0.999996931,4.01E-14
class_1,0.184732467,0.132831903,0.5320492,0.553655938,1,0.999997631,8.47E-14
class_1,0.195084247,0.139315177,0.766032203,0.57303433,1,0.999995331,1
class_1,0.228802934,0.156475015,0.712121774,0.723761801,1,0.999998295,2.40E-14
class_1,0.185403912,0.125061297,0.604548275,0.694854608,1,0.999999009,6.70E-14
class_1,0.214558099,0.145179483,0.859434285,0.741847472,1,0.99999721,1
class_1,0.052913852,0.036760473,0.570980983,0.443993832,1,0.99999425,6.83E-14
class_1,0.048667982,0.029815805,0.796388567,0.540829666,1,0.999993625,1
