class,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7
class_1,0.61847624,0.449940869,0.595280041,0.880154617,1.16E-14,4.43E-07,1
class_1,0.594434658,0.429801837,0.537079073,0.840917904,1.11E-14,4.47E-07,1
class_1,0.629105963,0.457591564,0.640306601,0.903874399,8.62E-15,3.65E-07,1
class_1,0.553465458,0.39415034,0.46866844,0.782073364,1,2.71E-07,1
class_1,0.622503727,0.449891708,0.672684682,0.914183953,3.91E-15,2.08E-07,1
class_1,0.203023108,0.137020544,0.645549805,0.71267369,1,0.999998825,4.93E-14
class_1,0.203803975,0.136177605,0.860482245,0.741847472,1,0.99999721,1
class_1,0.19085853,0.136197131,0.595321782,0.557727239,1,0.999996931,4.01E-14
class_1,0.173569976,0.123699996,0.53269796,0.553655938,1,0.999997631,8.47E-14
class_1,0.184063491,0.130251544,0.766966273,0.57303433,1,0.999995331,1
class_1,0.218243848,0.147592087,0.712990107,0.723761801,1,0.999998295,2.40E-14
class_1,0.174250615,0.11584756,0.605285437,0.694854608,1,0.999999009,6.70E-14
class_1,0.203803975,0.136177605,0.860482245,0.741847472,1,0.99999721,1
class_1,0.039946526,0.026616864,0.571677215,0.443993832,1,0.99999425,6.83E-14
class_1,0.035642522,0.019599063,0.797359652,0.540829666,1,0.999993625,1
class_1,0.06928655,0.052169897,0.684597866,0.499696079,1,0.999994386,7.44E-14
class_1,0.859799641,1,0.375694461,0.933074667,1.39E-14,2.04E-07,7.28E-15
class_1,0.939057842,0.916415079,0.778287285,0.887763203,1,0.999999694,1.59E-14
class_1,0.83655826,0.953870798,0.322340952,0.598046433,1.17E-13,1.61E-06,2.45E-13
class_1,0.949693753,0.861849712,0.900352759,0.853823184,1,0.999999374,1
class_1,0.959242403,0.962258247,0.73057081,0.851965543,8.88E-15,0.999999999,1
class_1,1,0.943128823,0.883269918,0.829497375,1,0.999999368,1
class_1,0.917133704,0.952039476,0.587279459,0.793174385,6.60E-14,6.91E-07,4.80E-15
class_1,0.988513078,0.915279146,0.912393673,0.851263747,1,0.99999941,1
class_1,0.925190077,0.899033485,0.708723437,0.854470698,2.14E-14,3.08E-07,1
class_1,0.649197606,0.483012359,0.83967114,0.869825512,1,0.99999961,1
class_1,0.709695486,0.550603557,0.78550457,0.670868923,1,0.999998152,1
class_1,0.529946515,0.434405957,0.735197056,0.694553719,6.05E-14,2.45E-06,1
